Rmin,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
41,"[107, 107, 103, 91, 83, 73, 61, 61, 45]",81.22222222222223,21.34259058407639,"[218.6, 218.6, 218.33359683794467, 218.0991108797273, 218.0222607990683, 217.98899616917103, 217.85766687625855, 217.85766687625855, 217.7849754760973]",218.1271415460584,0.29495662048954924,"[1.0, 1.0, 0.9960474308300395, 0.9859815139228179, 0.9794351338682314, 0.9714304642119921, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276]",0.9782527165503213
42,"[106, 106, 102, 90, 82, 72, 60, 60, 44]",80.22222222222223,21.34259058407639,"[218.8, 218.8, 218.53584245076587, 218.30914524689692, 218.2389908023259, 218.2157061050052, 218.0996723872447, 218.0996723872447, 218.0514372217036]",218.35005184457634,0.27609015342572657,"[1.0, 1.0, 0.9960612691466083, 0.9860394997601486, 0.9795286840319833, 0.9715748268254907, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839]",0.9783729610718743
43,"[104, 104, 100, 88, 80, 70, 58, 58, 42]",78.22222222222223,21.34259058407639,"[219.2, 219.2, 218.9335085413929, 218.70035571713052, 218.62560000626024, 218.59624645000034, 218.47192870847275, 218.47192870847275, 218.4118590624056]",218.73460302157056,0.2881181142215797,"[1.0, 1.0, 0.9960578186596584, 0.9860250483188931, 0.9795053763721338, 0.9715388731111126, 0.961584193259123, 0.961584193259123, 0.9487917422346029]",0.9783430272460719
44,"[102, 102, 98, 86, 78, 68, 56, 56, 40]",76.22222222222223,21.34259058407639,"[219.6, 219.6, 219.33117053923718, 219.0915479713535, 219.0121786836031, 218.97673750677106, 218.84410598370428, 218.84410598370428, 218.77215205595877]",219.11911096937027,0.30029211483000107,"[1.0, 1.0, 0.9960543621218764, 0.9860105669277835, 0.9794820155796203, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382]",0.9783130087946399
45,"[100, 100, 96, 84, 76, 66, 54, 54, 38]",74.22222222222223,21.34259058407639,"[220.0, 220.0, 219.72882843352346, 219.48272195287998, 219.39872672985302, 219.35717908783357, 219.21620387467965, 219.21620387467965, 219.132315572291]",219.50357550286003,0.3126006207761066,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904]",0.9782829053519718
46,"[98, 98, 94, 82, 74, 64, 52, 52, 36]",72.22222222222223,21.34259058407639,"[220.4, 220.4, 220.12648221343875, 219.8738776047884, 219.78524404003113, 219.73757100475248, 219.58822204120676, 219.58822204120676, 219.49234897721635]",219.88799643584898,0.32503371773220513,"[1.0, 1.0, 0.9960474308300395, 0.9859815139228179, 0.9794351338682314, 0.9714304642119915, 0.9614195360823413, 0.9614195360823413, 0.9485408339551268]",0.9782527165503212
47,"[97, 97, 93, 81, 73, 63, 51, 51, 35]",71.22222222222223,21.34259058407639,"[220.6, 220.6, 220.32875273522976, 220.08401634646515, 220.00214243358346, 219.9645407932911, 219.83062216809583, 219.83062216809583, 219.75941192579003]",220.11112317450568,0.3056003444732757,"[1.0, 1.0, 0.9960612691466083, 0.9860394997601486, 0.9795286840319833, 0.9715748268254907, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839]",0.9783729610718743
48,"[95, 95, 91, 79, 71, 61, 49, 49, 33]",69.22222222222223,21.34259058407639,"[221.0, 221.0, 220.7264126149803, 220.4752008041045, 220.3887096837301, 220.34501642160035, 220.20278025633917, 220.20278025633917, 220.11968419842788]",220.4956204706135,0.3178800883069896,"[1.0, 1.0, 0.9960578186596584, 0.9860250483188931, 0.9795053763721338, 0.9715388731111126, 0.961584193259123, 0.961584193259123, 0.9487917422346029]",0.9783430272460719
49,"[93, 93, 89, 77, 69, 59, 47, 47, 31]",67.22222222222223,21.34259058407639,"[221.4, 221.4, 221.12406839105657, 220.86636699182353, 220.77524631164644, 220.72544259777456, 220.5748590187248, 220.5748590187248, 220.47982713705474]",220.8800743852006,0.33028218096682416,"[1.0, 1.0, 0.9960543621218764, 0.9860105669277835, 0.9794820155796203, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382]",0.9783130087946399
50,"[91, 91, 87, 75, 67, 57, 45, 45, 29]",65.22222222222223,21.34259058407639,"[221.8, 221.8, 221.52172005265467, 221.2575148527685, 221.16175221250364, 221.10581913370646, 220.94685811579555, 220.94685811579555, 220.83984010921793]",221.26448473249357,0.3427984388133258,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904]",0.9782829053519718
51,"[89, 89, 85, 73, 65, 55, 43, 43, 27]",63.22222222222222,21.342590584076387,"[222.2, 222.2, 221.91936758893283, 221.64864432984947, 221.54822728099393, 221.48614584033407, 221.31877720615495, 221.31877720615495, 221.19972247833556]",221.64885132563953,0.35542176159677136,"[1.0, 1.0, 0.9960474308300395, 0.9859815139228179, 0.9794351338682314, 0.9714304642119915, 0.9614195360823413, 0.9614195360823413, 0.9485408339551268]",0.9782527165503212
